Student_ID,Year,Term,Subject,Score
STU-00001,2019,Term1,Math,34
STU-00001,2019,Term1,English,83
STU-00001,2019,Term1,Science,20
STU-00001,2019,Term1,Social Studies,65
STU-00001,2019,Term1,ICT,38
STU-00001,2019,Term2,Math,22
STU-00001,2019,Term2,English,77
STU-00001,2019,Term2,Science,75
STU-00001,2019,Term2,Social Studies,45
STU-00001,2019,Term2,ICT,77
STU-00001,2019,Term3,Math,22
STU-00001,2019,Term3,English,70
STU-00001,2019,Term3,Science,62
STU-00001,2019,Term3,Social Studies,35
STU-00001,2019,Term3,ICT,53
STU-00001,2020,Term1,Math,39
STU-00001,2020,Term1,English,56
STU-00001,2020,Term1,Science,58
STU-00001,2020,Term1,Social Studies,42
STU-00001,2020,Term1,ICT,62
STU-00001,2020,Term2,Math,56
STU-00001,2020,Term2,English,30
STU-00001,2020,Term2,Science,36
STU-00001,2020,Term2,Social Studies,55
STU-00001,2020,Term2,ICT,98
STU-00001,2020,Term3,Math,25
STU-00001,2020,Term3,English,86
STU-00001,2020,Term3,Science,71
STU-00001,2020,Term3,Social Studies,58
STU-00001,2020,Term3,ICT,84
STU-00001,2021,Term1,Math,39
STU-00001,2021,Term1,English,58
STU-00001,2021,Term1,Science,98
STU-00001,2021,Term1,Social Studies,98
STU-00001,2021,Term1,ICT,77
STU-00001,2021,Term2,Math,98
STU-00001,2021,Term2,English,77
STU-00001,2021,Term2,Science,34
STU-00001,2021,Term2,Social Studies,53
STU-00001,2021,Term2,ICT,42
STU-00001,2021,Term3,Math,69
STU-00001,2021,Term3,English,38
STU-00001,2021,Term3,Science,44
STU-00001,2021,Term3,Social Studies,74
STU-00001,2021,Term3,ICT,72
STU-00001,2022,Term1,Math,77
STU-00001,2022,Term1,English,78
STU-00001,2022,Term1,Science,56
STU-00001,2022,Term1,Social Studies,54
STU-00001,2022,Term1,ICT,98
STU-00001,2022,Term2,Math,36
STU-00001,2022,Term2,English,48
STU-00001,2022,Term2,Science,65
STU-00001,2022,Term2,Social Studies,24
STU-00001,2022,Term2,ICT,34
STU-00001,2022,Term3,Math,80
STU-00001,2022,Term3,English,72
STU-00001,2022,Term3,Science,45
STU-00001,2022,Term3,Social Studies,24
STU-00001,2022,Term3,ICT,100
STU-00001,2023,Term1,Math,64
STU-00001,2023,Term1,English,84
STU-00001,2023,Term1,Science,77
STU-00001,2023,Term1,Social Studies,70
STU-00001,2023,Term1,ICT,99
STU-00001,2023,Term2,Math,44
STU-00001,2023,Term2,English,84
STU-00001,2023,Term2,Science,91
STU-00001,2023,Term2,Social Studies,53
STU-00001,2023,Term2,ICT,85
STU-00001,2023,Term3,Math,98
STU-00001,2023,Term3,English,62
STU-00001,2023,Term3,Science,62
STU-00001,2023,Term3,Social Studies,76
STU-00001,2023,Term3,ICT,99
STU-00002,2019,Term1,Math,59
STU-00002,2019,Term1,English,70
STU-00002,2019,Term1,Science,20
STU-00002,2019,Term1,Social Studies,88
STU-00002,2019,Term1,ICT,90
STU-00002,2019,Term2,Math,51
STU-00002,2019,Term2,English,70
STU-00002,2019,Term2,Science,20
STU-00002,2019,Term2,Social Studies,37
STU-00002,2019,Term2,ICT,77
STU-00002,2019,Term3,Math,60
STU-00002,2019,Term3,English,44
STU-00002,2019,Term3,Science,73
STU-00002,2019,Term3,Social Studies,47
STU-00002,2019,Term3,ICT,90
STU-00002,2020,Term1,Math,66
STU-00002,2020,Term1,English,80
STU-00002,2020,Term1,Science,58
STU-00002,2020,Term1,Social Studies,58
STU-00002,2020,Term1,ICT,33
STU-00002,2020,Term2,Math,68
STU-00002,2020,Term2,English,66
STU-00002,2020,Term2,Science,86
STU-00002,2020,Term2,Social Studies,58
STU-00002,2020,Term2,ICT,66
STU-00002,2020,Term3,Math,50
STU-00002,2020,Term3,English,44
STU-00002,2020,Term3,Science,66
STU-00002,2020,Term3,Social Studies,74
STU-00002,2020,Term3,ICT,33
STU-00002,2021,Term1,Math,100
STU-00002,2021,Term1,English,39
STU-00002,2021,Term1,Science,47
STU-00002,2021,Term1,Social Studies,91
STU-00002,2021,Term1,ICT,72
STU-00002,2021,Term2,Math,72
STU-00002,2021,Term2,English,84
STU-00002,2021,Term2,Science,77
STU-00002,2021,Term2,Social Studies,58
STU-00002,2021,Term2,ICT,48
STU-00002,2021,Term3,Math,55
STU-00002,2021,Term3,English,24
STU-00002,2021,Term3,Science,54
STU-00002,2021,Term3,Social Studies,80
STU-00002,2021,Term3,ICT,36
STU-00002,2022,Term1,Math,88
STU-00002,2022,Term1,English,73
STU-00002,2022,Term1,Science,93
STU-00002,2022,Term1,Social Studies,84
STU-00002,2022,Term1,ICT,54
STU-00002,2022,Term2,Math,36
STU-00002,2022,Term2,English,51
STU-00002,2022,Term2,Science,72
STU-00002,2022,Term2,Social Studies,67
STU-00002,2022,Term2,ICT,34
STU-00002,2022,Term3,Math,88
STU-00002,2022,Term3,English,64
STU-00002,2022,Term3,Science,77
STU-00002,2022,Term3,Social Studies,58
STU-00002,2022,Term3,ICT,100
STU-00002,2023,Term1,Math,88
STU-00002,2023,Term1,English,72
STU-00002,2023,Term1,Science,57
STU-00002,2023,Term1,Social Studies,26
STU-00002,2023,Term1,ICT,83
STU-00002,2023,Term2,Math,100
STU-00002,2023,Term2,English,45
STU-00002,2023,Term2,Science,78
STU-00002,2023,Term2,Social Studies,67
STU-00002,2023,Term2,ICT,100
STU-00002,2023,Term3,Math,58
STU-00002,2023,Term3,English,98
STU-00002,2023,Term3,Science,58
STU-00002,2023,Term3,Social Studies,77
STU-00002,2023,Term3,ICT,76
STU-00003,2019,Term1,Math,22
STU-00003,2019,Term1,English,70
STU-00003,2019,Term1,Science,45
STU-00003,2019,Term1,Social Studies,74
STU-00003,2019,Term1,ICT,90
STU-00003,2019,Term2,Math,43
STU-00003,2019,Term2,English,70
STU-00003,2019,Term2,Science,67
STU-00003,2019,Term2,Social Studies,83
STU-00003,2019,Term2,ICT,90
STU-00003,2019,Term3,Math,36
STU-00003,2019,Term3,English,69
STU-00003,2019,Term3,Science,59
STU-00003,2019,Term3,Social Studies,45
STU-00003,2019,Term3,ICT,90
STU-00003,2020,Term1,Math,47
STU-00003,2020,Term1,English,61
STU-00003,2020,Term1,Science,77
STU-00003,2020,Term1,Social Studies,58
